                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3468,                 6.0088,                 1.7237,                      0,                      0,                      0,                      0,                 2.4054,                 5.0976,                 1.1455,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                  2.772,                 5.5461,                 1.3273,                      0,                      0,                      0,                      0,                 2.0268,                 4.8187,                0.98532,                9.9e-05,                9.9e-05,                9.9e-05
                      3,                 2.2089,                 4.7025,                 1.0663,                      0,                      0,                      0,                      0,                 1.7239,                 4.5107,                0.90261,             0.00015246,             0.00015246,             0.00015246
                      4,                 2.0532,                 3.8144,                0.97984,                      0,                      0,                      0,                      0,                 1.6389,                 4.3447,                 0.8888,             0.00020482,             0.00020482,             0.00020482
                      5,                 1.9174,                 3.3629,                0.95589,                 0.0019,                0.07111,                0.05589,                0.03776,                 1.5785,                 4.0662,                0.86726,             0.00025608,             0.00025608,             0.00025608
                      6,                 1.8711,                  3.082,                0.97649,                0.00316,                0.12889,                0.08373,                0.05147,                 1.4459,                 3.8109,                0.86498,             0.00030624,             0.00030624,             0.00030624
                      7,                  1.746,                 2.8171,                0.94603,                0.02088,                    0.4,                0.19024,                0.11136,                 1.5622,                 3.5267,                0.87929,              0.0003553,              0.0003553,              0.0003553
                      8,                  1.759,                 2.6755,                 0.9486,                0.01752,                0.64368,                0.30842,                0.16989,                 1.5195,                 3.3849,                0.86563,             0.00040326,             0.00040326,             0.00040326
                      9,                 1.8044,                 2.4934,                0.92249,                0.01782,                0.84805,                0.33918,                0.20253,                 1.4355,                  3.028,                0.85647,             0.00045012,             0.00045012,             0.00045012
                     10,                 1.7071,                 2.2341,                0.91968,                0.01856,                0.91442,                0.37038,                0.21528,                 1.3698,                 2.8697,                0.84877,             0.00049588,             0.00049588,             0.00049588
                     11,                 1.7493,                 2.2851,                0.90078,                0.96667,                0.09045,                0.43505,                0.23345,                 1.4158,                 2.7528,                0.85644,             0.00054055,             0.00054055,             0.00054055
                     12,                 1.6397,                 2.1211,                0.88845,                0.79314,                0.14543,                  0.456,                0.23706,                 1.5672,                 2.6929,                0.88312,             0.00058411,             0.00058411,             0.00058411
                     13,                 1.5438,                 2.0014,                0.88551,                0.76535,                0.17341,                0.47513,                0.26975,                 1.4272,                 2.6132,                0.86336,             0.00062657,             0.00062657,             0.00062657
                     14,                 1.5779,                 1.9511,                0.88298,                0.89741,                0.17862,                0.48893,                0.26984,                 1.4849,                 2.5738,                0.86058,             0.00066793,             0.00066793,             0.00066793
                     15,                 1.5576,                 2.0413,                0.88379,                0.94375,                0.12842,                0.56312,                0.30405,                 1.4923,                 2.7086,                 0.8661,             0.00070819,             0.00070819,             0.00070819
                     16,                  1.544,                 1.8796,                0.87419,                0.73066,                0.22684,                 0.6515,                0.35528,                 1.4428,                 2.4803,                0.86216,             0.00074735,             0.00074735,             0.00074735
                     17,                 1.4602,                 1.7976,                0.87003,                0.70623,                0.42167,                0.67785,                0.36996,                 1.4197,                 2.0372,                0.85935,             0.00078541,             0.00078541,             0.00078541
                     18,                 1.4883,                 1.7085,                 0.8692,                0.69236,                0.49747,                 0.7064,                0.41166,                 1.3837,                 1.9676,                0.85217,             0.00082238,             0.00082238,             0.00082238
                     19,                  1.435,                 1.6763,                0.88357,                 0.6755,                0.53658,                0.73256,                0.41774,                 1.4506,                 1.9608,                0.85608,             0.00085824,             0.00085824,             0.00085824
                     20,                 1.4843,                 1.7532,                0.89029,                0.93725,                0.44504,                0.75452,                0.44873,                 1.3941,                 2.2088,                 0.8464,               0.000893,               0.000893,               0.000893
                     21,                 1.5337,                 1.8818,                0.89411,                0.92003,                0.45187,                0.74633,                0.37534,                 1.6383,                 2.1385,                0.87954,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.5379,                 1.6698,                0.88304,                0.90292,                0.48877,                0.73858,                 0.3826,                 1.5931,                 1.9482,                0.88698,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.3762,                 1.5406,                0.89317,                 0.8649,                0.59951,                0.74421,                 0.4438,                 1.3889,                 1.8404,                0.85254,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.4169,                  1.688,                0.87964,                0.78661,                0.59249,                0.71307,                0.42455,                 1.3667,                 1.8047,                0.84406,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.4236,                 1.6205,                0.88329,                0.82338,                0.49461,                0.69188,                0.40286,                 1.4167,                 2.0204,                0.85661,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.4479,                 1.5144,                0.87579,                0.84138,                0.37179,                0.68719,                0.39638,                 1.4095,                 2.2316,                0.86055,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.3786,                 1.4756,                0.86664,                 0.8712,                0.46774,                0.70828,                0.41353,                 1.3992,                 2.1229,                0.86216,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.3158,                 1.4825,                0.88262,                0.77971,                 0.6146,                0.75629,                0.44672,                 1.3372,                 1.6554,                 0.8365,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.3206,                 1.4667,                 0.8536,                0.77881,                0.57729,                 0.7772,                 0.4784,                 1.2635,                 1.8078,                0.82594,             0.00081403,             0.00081403,             0.00081403
                     30,                 1.2717,                 1.3753,                0.86227,                0.77332,                0.56773,                0.77793,                0.43722,                   1.31,                 1.8395,                0.83014,             0.00080303,             0.00080303,             0.00080303
                     31,                 1.3239,                  1.354,                0.86232,                0.78504,                0.61075,                0.78507,                0.42959,                 1.3748,                 1.6889,                0.83912,             0.00079203,             0.00079203,             0.00079203
                     32,                 1.2707,                 1.3719,                0.86073,                0.86331,                0.71501,                 0.8083,                0.50086,                  1.222,                 1.3659,                 0.8336,             0.00078103,             0.00078103,             0.00078103
                     33,                  1.315,                  1.347,                0.85011,                0.89827,                0.70087,                0.82596,                 0.5272,                 1.1802,                 1.3221,                 0.8285,             0.00077003,             0.00077003,             0.00077003
                     34,                 1.3041,                 1.2796,                0.85562,                0.88361,                0.71752,                0.84424,                0.52896,                 1.1937,                 1.2545,                0.82842,             0.00075904,             0.00075904,             0.00075904
                     35,                 1.2838,                 1.3197,                0.85512,                 0.9028,                0.70677,                0.86068,                0.54572,                 1.2099,                 1.1884,                 0.8271,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.2624,                  1.324,                0.86285,                0.84028,                0.75078,                0.86576,                0.55166,                 1.1977,                 1.2521,                0.82618,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.3768,                 1.2802,                0.85066,                0.83889,                0.73591,                0.84868,                 0.5618,                 1.1323,                 1.2841,                0.81721,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.3613,                 1.2931,                0.85314,                 0.8169,                0.77358,                0.84852,                0.55586,                 1.1466,                 1.2262,                0.81746,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.2566,                 1.2575,                0.85753,                0.86135,                0.78914,                0.87787,                0.58087,                  1.146,                 1.1772,                0.81735,             0.00070404,             0.00070404,             0.00070404
                     40,                   1.33,                 1.1949,                0.86068,                0.87412,                0.81936,                0.89991,                0.59742,                 1.1281,                 1.1226,                0.82377,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.3354,                 1.2611,                0.85624,                0.88963,                0.80741,                0.89804,                0.60744,                 1.0957,                 1.1581,                0.82043,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.2964,                 1.2798,                0.85025,                0.89896,                 0.7896,                0.88685,                0.58866,                 1.1439,                 1.1891,                0.82521,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.3589,                 1.2625,                0.85457,                0.91364,                0.78355,                0.89617,                0.58315,                 1.1635,                 1.1775,                0.82358,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.2653,                 1.1606,                0.85579,                0.86328,                0.76658,                0.88781,                0.56368,                 1.1788,                 1.1173,                0.82046,             0.00064905,             0.00064905,             0.00064905
